id,type,description
101,1,"サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。"
201,2,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
301,3,"ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。"
20005,4,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20007,5,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20009,6,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20010,7,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20011,8,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20013,9,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20015,10,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20016,11,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20018,12,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20020,13,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20021,14,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20022,15,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20025,16,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20026,17,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
20027,18,"ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
