story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
5001,5,20001,"ハツネのプレゼント大作戦",0,1,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5002,5,20002,"リトル・リリカル・アドベンチャーズ！",0,1,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5003,5,20003,"ヴァンパイアハンター\nwithイリヤ",0,1,"2018/05/25 16:00:00","2030/04/24 14:59:59"
5004,5,20004,"デンジャラスバカンス！\n渚のグルメプリンセス",0,1,"2018/06/26 15:00:00","2030/04/24 14:59:59"
5005,5,20005,"タマキとミフユの\n無人島０ルピ生活",0,1,"2018/07/26 15:00:00","2030/04/24 14:59:59"
5006,5,20006,"黒鉄の亡霊（ナイトメア）",0,1,"2018/08/27 15:00:00","2030/04/24 14:59:59"
5007,5,20007,"トリックオアプリン！\n約束のハロウィンパーティー",0,1,"2018/09/26 15:00:00","2030/04/24 14:59:59"
5008,5,20008,"トワイライトブレイカーズ",0,1,"2018/10/26 15:00:00","2030/04/24 14:59:59"
5009,5,20009,"忘却のキャロル",0,1,"2018/11/26 15:00:00","2030/04/24 14:59:59"
5010,5,20010,"新春トゥインクル\nクライシス！",0,1,"2018/12/26 15:00:00","2030/04/24 14:59:59"
5011,5,20011,"バトルオブバレンタイン！　\n想いぶつかるスウィートバトル",0,1,"2019/01/25 15:00:00","2030/04/24 14:59:59"
5012,5,20012,"王都の名探偵　\n嘆きの追跡者（ストーカー）",0,1,"2019/02/22 15:00:00","2030/04/24 14:59:59"
5013,5,20013,"アストルムに咲く双輪の華",0,1,"2019/03/25 15:00:00","2030/04/24 14:59:59"
5015,5,20014,"ショーグン道中記　白翼のサムライ",0,1,"2019/04/24 15:00:00","2030/04/24 14:59:59"
5017,5,10053,"Re:ゼロから集まる異世界食卓",0,1,"2019/05/24 15:00:00","2030/04/24 14:59:59"
5019,5,20015,"スズナレインボー\nステージ！",0,1,"2019/06/24 15:00:00","2030/04/24 14:59:59"
5021,5,20016,"真夏のマホマホ王国　\n波打ち際のソウルサマー！",0,1,"2019/07/25 15:00:00","2030/04/24 14:59:59"
5023,5,20017,"森の臆病者と聖なる学舎の異端児",0,1,"2019/08/26 15:00:00","2030/04/24 14:59:59"
5025,5,20018,"リトル・ブレイブ・ハロウィンナイト！",0,1,"2019/09/24 15:00:00","2030/04/24 14:59:59"
5027,5,20019,"ドラゴンエクスプローラーズ",0,1,"2019/10/25 15:00:00","2030/04/24 14:59:59"
5029,5,20020,"プレゼントパニック！　ランドソルのサンタたち",0,1,"2019/11/25 15:00:00","2030/04/24 14:59:59"
5031,5,20021,"激走！　ランドソルギルドレース",0,1,"2019/12/26 15:00:00","2030/04/24 14:59:59"
5033,5,20022,"魔法少女　二人はミスティ＆ピュアリー",0,1,"2020/01/24 15:00:00","2030/04/24 14:59:59"
5035,5,10062,"スターライトプリンセス　Re:M@STER！",0,1,"2020/02/25 15:00:00","2030/04/24 14:59:59"
5036,5,10063,"スターライトプリンセス　Re:M@STER！",0,1,"2020/02/25 15:00:00","2030/04/24 14:59:59"
5038,5,20023,"授けの財団と聖なる学舎の異端児",0,1,"2020/03/24 15:00:00","2030/04/24 14:59:59"
5040,5,20024,"まきばの四農士　貧乏牧場奮闘記！",0,1,"2020/04/24 15:00:00","2030/04/24 14:59:59"
5042,5,20025,"不思議の国のリノ　小さなアリスと希望の絵本",0,1,"2020/05/25 15:00:00","2030/04/24 14:59:59"
5044,5,20026,"七夕剣客旅情譚　天に流れる夏の恋",0,1,"2020/06/24 15:00:00","2030/04/24 14:59:59"
5046,5,20027,"ミサトサマーエール！　夢追う真夏のナイン",0,1,"2020/07/25 15:00:00","2030/04/24 14:59:59"
5048,5,20028,"ハッピー・チェンジ・エンジェルズ",0,1,"2020/08/24 15:00:00","2030/04/24 14:59:59"
5050,5,20029,"響け！絶叫！ハロウィンゴーストフェスティバル",0,1,"2020/09/25 15:00:00","2030/04/24 14:59:59"
5052,5,10079,"魔法提督ラブリー★モニカ　\nレッツゴー！マジカルカルテット！",0,1,"2020/10/26 15:00:00","2030/04/24 14:59:59"
5054,5,10081,"デビュタント・シャングリ・ラ　聖夜のラブゲーム",0,1,"2020/11/25 15:00:00","2030/04/24 14:59:59"
5056,5,10083,"新春グルメプリンセス！　一投にかけた乙女たち",0,1,"2020/12/25 15:00:00","2030/04/24 14:59:59"
5058,5,10086,"絆、つないで。こころ、結んで。",0,1,"2021/01/25 15:00:00","2030/04/24 14:59:59"
5059,5,10087,"絆、つないで。こころ、結んで。",0,1,"2021/01/25 15:00:00","2030/04/24 14:59:59"
5061,5,10089,"シンデレラレッスン　華やかなる日々はリンゴの味",0,1,"2021/02/25 15:00:00","2030/04/24 14:59:59"
