id,quest_id,icon_name,effect_name,description
1,74001102,add_shadow,"シャドウ1体追加","ジータのシャドウが追加される。"
2,74001103,add_shadow,"シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
3,74001104,star6_shadow,"シャドウ★6化","ノゾミのシャドウが★6になる。"
4,74001104,add_shadow,"シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
5,74001105,star6_shadow,"シャドウ★6化","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。"
6,74001105,add_shadow,"シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
7,74001202,add_shadow,"シャドウ1体追加","ユカリのシャドウが追加される。"
8,74001203,add_shadow,"シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
9,74001204,star6_shadow,"シャドウ★6化","ユカリとユイのシャドウが★6になる。"
10,74001204,add_shadow,"シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
11,74001205,star6_shadow,"シャドウ★6化","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。"
12,74001205,add_shadow,"シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
13,74001301,boss_magic_cut,"ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。"
14,74001302,boss_magic_cut,"ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。"
15,74001302,add_shadow,"シャドウ1体追加","シズル（サマー）のシャドウが追加される。"
16,74001303,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
17,74001303,boss_magic_cut,"ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。"
18,74001303,add_shadow,"シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。"
19,74001304,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
20,74001304,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
21,74001304,boss_magic_cut,"ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。"
22,74001304,add_shadow,"シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。"
23,74001305,limit_time,"バトル時間制限","バトル時間が60秒になる。"
24,74001305,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
25,74001305,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
26,74001305,boss_magic_cut,"ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。"
27,74001305,add_shadow,"シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。"
28,74001401,boss_physics_cut,"ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。"
29,74001402,boss_physics_cut,"ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。"
30,74001402,add_shadow,"シャドウ1体追加","クウカ（オーエド）のシャドウが追加される。"
31,74001403,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
32,74001403,boss_physics_cut,"ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。"
33,74001403,add_shadow,"シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。"
34,74001404,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
35,74001404,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
36,74001404,boss_physics_cut,"ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。"
37,74001404,add_shadow,"シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。"
38,74001405,limit_time,"バトル時間制限","バトル時間が60秒になる。"
39,74001405,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
40,74001405,energy_recover,"開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
41,74001405,boss_physics_cut,"ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。"
42,74001405,add_shadow,"シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。"
43,74001502,boss_atk_up,"開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
44,74001503,limit_chara_num,"編成キャラ数制限","編成可能キャラ数が4キャラになる。"
45,74001503,boss_atk_up,"開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
46,74001504,limit_chara_num,"編成キャラ数制限","編成可能キャラ数が4キャラになる。"
47,74001504,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
48,74001504,boss_atk_up,"開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
49,74001505,limit_chara_num,"編成キャラ数制限","編成可能キャラ数が4キャラになる。"
50,74001505,max_hp_down,"キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。"
51,74001505,boss_ub_enhance,"ボスUB強化","ボスモンスターのユニオンバーストが強化される。"
52,74001505,boss_atk_up,"開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
