still_id,group_id,still_group_id,still_name,vertical_still_flg,scroll_direction
9000000,10001,0,Menu01scene1,0,0
9000001,10001,0,Menu01scene2,0,0
9000002,10001,0,Menu01scene3,0,0
9000003,10001,0,Menu01scene4,0,0
9000004,10001,0,Menu02scene1,0,0
9000005,10001,0,Menu02scene2,0,0
9000006,10001,0,Menu02scene3,0,0
9000007,10001,0,Menu02scene4,0,0
9000008,10001,0,Menu02scene5,0,0
9000009,10001,0,Menu02scene6,0,0
9000010,10001,0,Menu03scene1,0,0
9000011,10001,0,Menu03scene2,0,0
9000012,10001,0,Menu03scene3,0,0
9000013,10001,0,Menu03scene4,0,0
9000014,10001,0,Menu03scene5,0,0
9000015,10001,0,Menu03scene6,0,0
9000016,10001,0,OPscene1,0,0
9000017,10001,0,OPscene2,0,0
9000018,10001,0,OPscene3,0,0
9000019,10001,0,OPscene4,0,0
9000020,10001,0,OPscene5,0,0
9000021,10001,0,OPscene6,0,0
9000022,10001,0,"アニメオリジナル　コッコロカスタムマイページ",0,0
9000023,10002,0,Menu04scene1,0,0
9000024,10002,0,Menu04scene2,0,0
9000025,10002,0,Menu04scene3,0,0
9000026,10002,0,Menu04scene4,0,0
9000027,10002,0,Menu04scene5,0,0
9000028,10002,0,Menu04scene6,0,0
9000029,10002,0,Menu05scene1,0,0
9000030,10002,0,Menu05scene2,0,0
9000031,10002,0,Menu05scene3,0,0
9000032,10002,0,Menu05scene4,0,0
9000033,10002,0,Menu05scene5,0,0
9000034,10002,0,Menu05scene6,0,0
9000035,10002,0,Menu06scene1,0,0
9000036,10002,0,Menu06scene2,0,0
9000037,10002,0,Menu06scene3,0,0
9000038,10002,0,Menu06scene4,0,0
9000039,10002,0,Menu06scene5,0,0
9000040,10002,0,Menu06scene6,0,0
9000041,10002,0,"アニメオリジナル　キャルカスタムマイページ",0,0
9000042,10003,0,Menu07scene1,0,0
9000043,10003,0,Menu07scene2,0,0
9000044,10003,0,Menu07scene3,0,0
9000045,10003,0,Menu07scene4,0,0
9000046,10003,0,Menu07scene5,0,0
9000047,10003,0,Menu07scene6,0,0
9000048,10003,0,Menu08scene1,0,0
9000049,10003,0,Menu08scene2,0,0
9000050,10003,0,Menu08scene3,0,0
9000051,10003,0,Menu08scene4,0,0
9000052,10003,0,Menu08scene5,0,0
9000053,10003,0,Menu08scene6,0,0
9000054,10003,0,Menu09scene1,0,0
9000055,10003,0,Menu09scene2,0,0
9000056,10003,0,Menu09scene3,0,0
9000057,10003,0,Menu09scene4,0,0
9000058,10003,0,Menu09scene5,0,0
9000059,10003,0,Menu09scene6,0,0
9000060,10003,0,"アニメオリジナルカスタムマイページ",0,0
9000061,10004,0,Menu10scene1,0,0
9000062,10004,0,Menu10scene2,0,0
9000063,10004,0,Menu10scene3,0,0
9000064,10004,0,Menu10scene4,0,0
9000065,10004,0,Menu10scene5,0,0
9000066,10004,0,Menu10scene6,0,0
9000067,10004,0,Menu11scene1,0,0
9000068,10004,0,Menu11scene2,0,0
9000069,10004,0,Menu11scene3,0,0
9000070,10004,0,Menu11scene4,0,0
9000071,10004,0,Menu11scene5,0,0
9000072,10004,0,Menu11scene6,0,0
9000073,10004,0,Menu12scene1,0,0
9000074,10004,0,Menu12scene2,0,0
9000075,10004,0,Menu12scene3,0,0
9000076,10004,0,Menu12scene4,0,0
9000077,10004,0,Menu12scene5,0,0
9000078,10004,0,Menu12scene6,0,0
9000079,10004,0,Menu13scene1,0,0
9000080,10004,0,Menu13scene2,0,0
9000081,10004,0,Menu13scene3,0,0
9000082,10004,0,Menu13scene4,0,0
9000083,10004,0,Menu13scene5,0,0
9000084,10004,0,Menu13scene6,0,0
9000085,10004,0,EDscene1,0,0
9000086,10004,0,EDscene2,0,0
9000087,10004,0,EDscene3,0,0
9000088,10004,0,EDscene4,0,0
9000089,10004,0,EDscene5,0,0
9000090,10004,0,EDscene6,0,0
9000091,10004,0,"アニメオリジナル　ペコリーヌカスタムマイページ",0,0
9000092,20001,0,"3周年記念カスタムマイページ1",0,0
9000093,20001,0,"3周年記念カスタムマイページ2",0,0
9000094,20001,0,"3周年記念カスタムマイページ3",0,0
9000095,20002,0,"公式アートワークス Vol.3 発売記念アイテム1",0,0
9000096,20002,0,"公式アートワークス Vol.3 発売記念アイテム2",0,0
9000097,20002,0,"公式アートワークス Vol.3 発売記念アイテム3",0,0
9000098,20003,0,"3.5周年記念カスタムマイページ1",0,0
9000099,20003,0,"3.5周年記念カスタムマイページ2",0,0
9000100,30001,0,"ミヤコ's キッチン 究極への道",0,0
9000101,20004,0,"4周年記念カスタムマイページ",0,0
9000102,10005,0,Menu1NEXT,0,0
9000103,10005,0,Menu2NEXT,0,0
9000104,10005,0,Menu3NEXT,0,0
9000105,10005,0,Menu1scene1,0,0
9000106,10005,0,Menu1scene2,0,0
9000107,10005,0,Menu1scene3,0,0
9000108,10005,0,Menu1scene4,0,0
9000109,10005,0,Menu1scene5,0,0
9000110,10005,0,Menu1scene6,0,0
9000111,10005,0,Menu2scene1,0,0
9000112,10005,0,Menu2scene2,0,0
9000113,10005,0,Menu2scene3,0,0
9000114,10005,0,Menu2scene4,0,0
9000115,10005,0,Menu2scene5,0,0
9000116,10005,0,Menu2scene6,0,0
9000117,10005,0,Menu2scene7,0,0
9000118,10005,0,Menu2scene8,0,0
9000119,10005,0,Menu2scene9,0,0
9000120,10005,0,Menu3scene1,0,0
9000121,10005,0,Menu3scene2,0,0
