stamp_id,disp_order,description,start_date,end_date
100101,4,"がんばれー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100201,5,"ありがとう","2015/04/01 14:00:00","2099/08/01 14:59:59"
100301,6,"参戦","2015/04/01 14:00:00","2099/08/01 14:59:59"
100401,7,"おはよー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100501,34,"照れくさいッス","2021/09/10 15:00:00","2099/08/01 14:59:59"
100601,35,"すごぉい♪","2021/09/10 15:00:00","2099/08/01 14:59:59"
100701,36,"プリン～プリン～","2021/09/10 15:00:00","2099/08/01 14:59:59"
100801,37,"呼んだ？","2021/09/10 15:00:00","2099/08/01 14:59:59"
100901,8,"好機到来！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101001,9,"なんぎやわぁ","2015/04/01 14:00:00","2099/08/01 14:59:59"
101101,10,"ラジャー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101201,11,"いっくよー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101301,38,"キタコレ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
101401,39,"鍵は揃ったね","2021/09/10 15:00:00","2099/08/01 14:59:59"
101501,40,"いいこ、いいこ♪","2021/09/10 15:00:00","2099/08/01 14:59:59"
101601,12,"おっけー","2015/04/01 14:00:00","2099/08/01 14:59:59"
101701,13,"なんくるないさー","2015/04/01 14:00:00","2099/08/01 14:59:59"
101801,41,"教えてあ・げ・る","2021/09/10 15:00:00","2099/08/01 14:59:59"
102001,14,"おやすみなさい。","2015/04/01 14:00:00","2099/08/01 14:59:59"
102101,15,"ワー！ワー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102201,16,"ガクブル","2015/04/01 14:00:00","2099/08/01 14:59:59"
102301,17,"プンプン","2015/04/01 14:00:00","2099/08/01 14:59:59"
102501,18,"おつかれさ…はわっ！？","2015/04/01 14:00:00","2099/08/01 14:59:59"
102601,42,"疲れた｜","2021/09/10 15:00:00","2099/08/01 14:59:59"
102701,19,"ウフフ…","2015/04/01 14:00:00","2099/08/01 14:59:59"
102801,20,"一気にいくわよッ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102901,21,"私に任せてっ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103001,43,"天下統一デース！","2021/09/10 15:00:00","2099/08/01 14:59:59"
103101,22,"コンバンワ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103201,44,"ごめんあそばせ","2021/09/10 15:00:00","2099/08/01 14:59:59"
103301,45,"なんちゃって！","2021/09/10 15:00:00","2099/08/01 14:59:59"
103401,23,"カンパーイッ","2015/04/01 14:00:00","2099/08/01 14:59:59"
103601,24,"通報しました！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103701,46,"日々鍛錬","2021/09/10 15:00:00","2099/08/01 14:59:59"
103801,47,"休憩…しませんか","2021/09/10 15:00:00","2099/08/01 14:59:59"
104001,25,"撤退します…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104201,48,"加護を…","2021/09/10 15:00:00","2099/08/01 14:59:59"
104301,49,"燃えて来たぜ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
104401,26,"わらわにつづけ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104501,27,"じゅるり…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104601,28,"にゃあ","2015/04/01 14:00:00","2099/08/01 14:59:59"
104701,50,"この手で守る！","2021/09/10 15:00:00","2099/08/01 14:59:59"
104801,29,"ＮＯ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104901,30,"ごめんね","2015/04/01 14:00:00","2099/08/01 14:59:59"
105001,31,"助けなさいよっ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105101,51,"実験実験…♪","2021/09/10 15:00:00","2099/08/01 14:59:59"
105201,52,"ぺっぺっ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
105301,32,"ちょっと待った―！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105401,53,"仕方ないですねぇ","2021/09/10 15:00:00","2099/08/01 14:59:59"
105501,33,"おつかれさまでしゅっ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
105601,54,"遠慮はいらないよ","2021/09/10 15:00:00","2099/08/01 14:59:59"
105801,1,"おいっすー","2015/04/01 14:00:00","2099/08/01 14:59:59"
105901,2,"ぐっじょぶです","2015/04/01 14:00:00","2099/08/01 14:59:59"
106001,3,"おぼえてなさいよッ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
106101,55,"はーっはっはっはっ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
106401,56,"よろしくね","2021/09/10 15:00:00","2099/08/01 14:59:59"
106501,57,"ケンカの時間だ！","2021/09/10 15:00:00","2099/08/01 14:59:59"
106601,58,"こうなりゃヤケです！","2021/09/10 15:00:00","2099/08/01 14:59:59"
106701,59,"せいか～い♪","2021/09/10 15:00:00","2099/08/01 14:59:59"
106801,60,"歓迎しよう！","2021/09/10 15:00:00","2099/08/01 14:59:59"
107001,61,"真似てみせます","2021/09/10 15:00:00","2099/08/01 14:59:59"
107101,62,"愉しもうじゃないか","2021/09/10 15:00:00","2099/08/01 14:59:59"
110801,63,"へこむわー。","2021/09/10 15:00:00","2099/08/01 14:59:59"
110901,64,"すこっ","2021/09/10 15:00:00","2099/08/01 14:59:59"
111001,65,"興味深い","2021/09/10 15:00:00","2099/08/01 14:59:59"
