group_id,group_id_comment,group_unit_id_01,group_unit_id_02,group_unit_id_03,group_unit_id_04,group_unit_id_05
20001,"ハツネ＆シオリ",101201001,103801001,0,0,0
20002,"シズル＆リノ",101101001,104901001,0,0,0
20003,"サレン＆スズメ",102801001,102501001,0,0,0
20004,"ヨリ＆アカリ",100601001,102201001,0,0,0
20005,"ペコリーヌ&コッコロ",105801001,105901001,0,0,0
20006,"ペコリーヌ&キャル",105801001,106001001,0,0,0
20007,"コッコロ&キャル",105901001,106001001,0,0,0
20008,"ヒヨリ&ユイ",100101001,100201001,0,0,0
20009,"ヒヨリ&レイ",100101001,100301001,0,0,0
20010,"ユイ&レイ",100201001,100301001,0,0,0
20013,"ノゾミ&チカ",102901001,104201001,0,0,0
20014,"ノゾミ&ツムギ",102901001,105401001,0,0,0
20015,"チカ&ツムギ",104201001,105401001,0,0,0
20016,"ミミ&ミソギ",102001001,100401001,0,0,0
20017,"ミミ&キョウカ",102001001,103601001,0,0,0
20018,"ミソギ&キョウカ",100401001,103601001,0,0,0
20019,"ミサト&ハツネ",101501001,101201001,0,0,0
20020,"ミサト&アオイ",101501001,104001001,0,0,0
20021,"ハツネ&アオイ",101201001,104001001,0,0,0
20022,"イリヤ&ヨリ",104401001,102201001,0,0,0
20023,"イリヤ&アカリ",104401001,100601001,0,0,0
20024,"イリヤ&シノブ",104401001,103101001,0,0,0
20025,"イリヤ&ミヤコ",104401001,100701001,0,0,0
20026,"ヨリ＆シノブ",102201001,103101001,0,0,0
20027,"ヨリ＆ミヤコ",102201001,100701001,0,0,0
20028,"アカリ＆シノブ",100601001,103101001,0,0,0
20029,"アカリ＆ミヤコ",100601001,100701001,0,0,0
20030,"シノブ＆ミヤコ",103101001,100701001,0,0,0
20031,"ジュン＆クリスティーナ",104701001,107101001,0,0,0
20032,"ジュン＆トモ",104701001,103701001,0,0,0
20033,"ジュン＆マツリ",104701001,100501001,0,0,0
20034,"クリスティーナ＆トモ",107101001,103701001,0,0,0
20035,"クリスティーナ＆マツリ",107101001,100501001,0,0,0
20036,"トモ＆マツリ",103701001,100501001,0,0,0
20037,"サレン＆アヤネ",102801001,102301001,0,0,0
20038,"サレン＆クルミ",102801001,102101001,0,0,0
20039,"スズメ＆アヤネ",102501001,102301001,0,0,0
20040,"スズメ＆クルミ",102501001,102101001,0,0,0
20041,"アヤネ＆クルミ",102301001,102101001,0,0,0
20042,"マホ＆マコト",101001001,104301001,0,0,0
20043,"マホ＆カスミ",101001001,101401001,0,0,0
20044,"マホ＆カオリ",101001001,101701001,0,0,0
20045,"マコト＆カスミ",104301001,101401001,0,0,0
20046,"マコト＆カオリ",104301001,101701001,0,0,0
20047,"カスミ＆カオリ",101401001,101701001,0,0,0
20048,"マヒル＆リマ",103301001,105201001,0,0,0
20049,"マヒル＆シオリ",103301001,103801001,0,0,0
20050,"マヒル＆リン",103301001,102601001,0,0,0
20051,"リマ＆シオリ",105201001,103801001,0,0,0
20052,"リマ＆リン",105201001,102601001,0,0,0
20053,"シオリ＆リン",103801001,102601001,0,0,0
20054,"アキノ＆ミフユ",103201001,104801001,0,0,0
20055,"アキノ＆ユカリ",103201001,103401001,0,0,0
20056,"アキノ＆タマキ",103201001,104601001,0,0,0
20057,"ミフユ＆ユカリ",104801001,103401001,0,0,0
20058,"ミフユ＆タマキ",104801001,104601001,0,0,0
20059,"ユカリ＆タマキ",103401001,104601001,0,0,0
20060,"ルカ&ミツキ",105601001,105101001,0,0,0
20061,"ルカ&エリコ",105601001,102701001,0,0,0
20062,"ルカ&ナナカ",105601001,101301001,0,0,0
20063,"ルカ&アンナ",105601001,100901001,0,0,0
20064,"ミツキ&エリコ",105101001,102701001,0,0,0
20065,"ミツキ&ナナカ",105101001,101301001,0,0,0
20066,"ミツキ&アンナ",105101001,100901001,0,0,0
20067,"エリコ&ナナカ",102701001,101301001,0,0,0
20068,"エリコ&アンナ",102701001,100901001,0,0,0
20069,"ナナカ&アンナ",101301001,100901001,0,0,0
20070,"イオ&ミサキ",101801001,105001001,0,0,0
20071,"イオ&スズナ",101801001,101601001,0,0,0
20072,"ミサキ&スズナ",105001001,101601001,0,0,0
20073,"モニカ&ユキ",105301001,100801001,0,0,0
20074,"モニカ&ニノン",105301001,103001001,0,0,0
20075,"モニカ&クウカ",105301001,104501001,0,0,0
20076,"モニカ&アユミ",105301001,105501001,0,0,0
20077,"ユキ&ニノン",100801001,103001001,0,0,0
20078,"ユキ&クウカ",100801001,104501001,0,0,0
20079,"ユキ&アユミ",100801001,105501001,0,0,0
20080,"ニノン&クウカ",103001001,104501001,0,0,0
20081,"ニノン&アユミ",103001001,105501001,0,0,0
20082,"クウカ&アユミ",104501001,105501001,0,0,0
20083,"サレン&アキノ",102801001,103201001,0,0,0
20084,"レイ&ツムギ",100301001,105401001,0,0,0
20085,"マコト&ユイ",100201001,104301001,0,0,0
20086,"クロエ&チエル",110801001,110901001,0,0,0
20087,"クロエ&ユニ",110801001,111001001,0,0,0
20088,"チエル&ユニ",110901001,111001001,0,0,0
20089,"アン&ルゥ",109201001,109301001,0,0,0
20090,"アン&グレア",109201001,109401001,0,0,0
20091,"ルゥ&グレア",109301001,109401001,0,0,0
20092,"エミリア&レム",109901001,109701001,0,0,0
20093,"エミリア&ラム",109901001,109801001,0,0,0
20094,"レム&ラム",109701001,109801001,0,0,0
20095,"ネネカ&クリスティーナ",107001001,107101001,0,0,0
20096,"ネネカ&リマ",107001001,105201001,0,0,0
