event_id,system_name,tutorial_quest_id,tutorial_chara_index,tutorial_story_id
10040,"信頼度",10040103,1,6040101
10042,"信頼度",10042103,1,6042101
10043,"信頼度",10043102,1,6019101
10044,"信頼度",10044103,1,6044101
10047,"信頼度",10047103,1,6023101
10048,"信頼度",10048103,1,6048101
10049,"信頼度",10049102,1,6025101
10050,"信頼度",10050103,1,6050106
10051,"信頼度",10051103,1,6027101
10052,"信頼度",10052103,1,6052101
10053,"信頼度",10053102,1,6017101
10054,"信頼度",10054103,1,6054101
10055,"信頼度",10055103,1,6029201
10056,"信頼度",10056103,1,6056101
10060,"信頼度",10060103,1,6033201
10061,"信頼度",10061106,1,6061101
10065,"信頼度",10065103,1,6038101
10066,"信頼度",10066108,1,6066101
