id,room_item_id,start_date,end_date,get_date,room_announcement_name
1,2801,"2020/10/31 12:00","2030/12/31 23:59:59","",""
2,2802,"2020/11/21 12:00","2030/12/31 23:59:59","",""
3,2307,"2021/02/16 12:00","2030/12/31 23:59:59","2021/02/16 12:00",""
4,2308,"2021/02/16 12:00","2030/12/31 23:59:59","2021/02/16 12:00",""
5,2806,"2021/02/10 12:00","2030/12/31 23:59:59","",""
6,2808,"2021/02/28 12:00","2030/12/31 23:59:59","2022/03/16 12:00",""
7,2809,"2021/05/31 12:00","2030/12/31 23:59:59","",""
8,2814,"2021/07/31 12:00","2030/12/31 23:59:59","2021/07/31 12:00",""
9,2804,"2022/01/18 12:00","2030/12/31 23:59:59","2022/01/18 12:00","オーマ地域振興ポスター\n『新春トゥンヌス釣上図柄』"
10,2816,"2022/02/15 05:00","2030/12/31 23:59:59","",""
11,2818,"2022/02/28 12:00","2030/12/31 23:59:59","",""
12,2805,"2022/05/15 15:00","2030/12/31 23:59:59","2022/05/15 15:00",""
