target_id,set_id,group_id
1,61013201,6101321
2,61013201,6101322
3,61013201,6101323
4,61013201,6101324
5,61013201,6101325
6,61013201,6101326
7,61013201,6101327
8,61013401,6101341
9,61013401,6101342
10,61013401,6101343
11,61013401,6101344
12,61013401,6101345
13,61013601,6101361
14,61013601,6101362
15,61013601,6101363
16,61013601,6101364
17,61013601,6101365
18,61013601,6101366
19,61013601,6101367
20,61013601,6101368
21,61014001,6101401
22,61014001,6101402
23,61014001,6101403
24,61014001,6101404
25,61014001,6101405
