id,campaign_category,value,system_id,icon_image,start_time,end_time,level_id,shiori_group_id,duplication_order,beginner_id
1,34,2000.0,103,30,"2018/03/06 05:00:00","2018/03/13 04:59:59",0,0,0,0
2,44,2000.0,103,40,"2018/03/06 05:00:00","2018/03/13 04:59:59",0,0,0,0
3,45,2000.0,104,40,"2018/03/13 05:00:00","2018/03/20 04:59:59",0,0,0,0
4,31,2000.0,101,30,"2018/03/20 05:00:00","2018/03/26 04:59:59",0,0,0,0
5,41,2000.0,101,40,"2018/03/20 05:00:00","2018/03/26 04:59:59",0,0,0,0
6,32,2000.0,102,30,"2018/03/26 05:00:00","2018/03/31 04:59:59",0,0,0,0
7,42,2000.0,102,40,"2018/03/26 05:00:00","2018/03/31 04:59:59",0,0,0,0
8,34,2000.0,103,30,"2018/03/31 05:00:00","2018/04/10 04:59:59",0,0,0,0
9,44,2000.0,103,40,"2018/03/31 05:00:00","2018/04/10 04:59:59",0,0,0,0
10,45,2000.0,104,40,"2018/04/10 05:00:00","2018/04/20 04:59:59",0,0,0,0
11,31,2000.0,101,30,"2018/04/20 05:00:00","2018/04/25 04:59:59",0,0,0,0
12,41,2000.0,101,40,"2018/04/20 05:00:00","2018/04/25 04:59:59",0,0,0,0
13,32,2000.0,102,30,"2018/04/25 05:00:00","2018/04/30 04:59:59",0,0,0,0
14,42,2000.0,102,40,"2018/04/25 05:00:00","2018/04/30 04:59:59",0,0,0,0
15,34,2000.0,103,30,"2018/04/30 05:00:00","2018/05/11 04:59:59",0,0,0,0
16,44,2000.0,103,40,"2018/04/30 05:00:00","2018/05/11 04:59:59",0,0,0,0
17,45,2000.0,104,40,"2018/05/11 05:00:00","2018/05/22 04:59:59",0,0,0,0
18,31,2000.0,101,30,"2018/05/22 05:00:00","2018/05/28 04:59:59",0,0,0,0
19,41,2000.0,101,40,"2018/05/22 05:00:00","2018/05/28 04:59:59",0,0,0,0
20,32,2000.0,102,30,"2018/05/28 05:00:00","2018/05/31 04:59:59",0,0,0,0
21,42,2000.0,102,40,"2018/05/28 05:00:00","2018/05/31 04:59:59",0,0,0,0
