enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
401021505,"ツインピッグス 1段階目",401021506,401021507,0,0,0
401021905,"グラットン 1段階目",401021906,401021907,401021908,0,0
401022105,"サジタリウス 1段階目",401022106,401022107,0,0,0
401022305,"アクアリオス 1段階目",401022306,401022307,0,0,0
401025905,"グラットン 1段階目 シングルモード",401025906,401025907,401025908,0,0
401026105,"サジタリウス 1段階目 シングルモード",401026106,401026107,0,0,0
401026305,"アクアリオス 1段階目 シングルモード",401026306,401026307,0,0,0
401031505,"ツインピッグス 2段階目",401031506,401031507,0,0,0
401031905,"グラットン 2段階目",401031906,401031907,401031908,0,0
401032105,"サジタリウス 2段階目",401032106,401032107,0,0,0
401032305,"アクアリオス 2段階目",401032306,401032307,0,0,0
401035905,"グラットン 2段階目 シングルモード",401035906,401035907,401035908,0,0
401036105,"サジタリウス 2段階目 シングルモード",401036106,401036107,0,0,0
401036305,"アクアリオス 2段階目 シングルモード",401036306,401036307,0,0,0
401041505,"ツインピッグス 3段階目",401041506,401041507,0,0,0
401041905,"グラットン 3段階目",401041906,401041907,401041908,0,0
401042105,"サジタリウス 3段階目",401042106,401042107,0,0,0
401042305,"アクアリオス 3段階目",401042306,401042307,0,0,0
401045905,"グラットン 3段階目 シングルモード",401045906,401045907,401045908,0,0
401046105,"サジタリウス 3段階目 シングルモード",401046106,401046107,0,0,0
401046305,"アクアリオス 3段階目 シングルモード",401046306,401046307,0,0,0
401304104,"トライロッカー 1段階目",401304106,401304107,401304108,0,0
401304204,"トライロッカー 2段階目",401304206,401304207,401304208,0,0
401304304,"トライロッカー 3段階目",401304306,401304307,401304308,0,0
401304404,"トライロッカー 4段階目",401304406,401304407,401304408,0,0
401304504,"トライロッカー 1段階目 シングルモード",401304506,401304507,401304508,0,0
401304604,"トライロッカー 2段階目 シングルモード",401304606,401304607,401304608,0,0
401304704,"トライロッカー 3段階目 シングルモード",401304706,401304707,401304708,0,0
401305105,"ツインピッグス 1段階目",401305106,401305107,0,0,0
401305205,"ツインピッグス 2段階目",401305206,401305207,0,0,0
401305305,"ツインピッグス 3段階目",401305306,401305307,0,0,0
401305405,"ツインピッグス 4段階目",401305406,401305407,0,0,0
