mural_group_id,date_id,parts_id,pos_x,pos_y,depth,width,height
1,71,1,-401,-90,1,170,182
1,81,2,-401,-90,2,170,182
1,121,3,-255,90,3,255,182
1,131,4,-255,90,4,255,182
1,141,5,-255,90,5,255,182
1,191,6,-107,-80,6,229,176
1,201,7,-107,-80,7,229,176
1,271,8,136,-85,8,218,151
1,281,9,136,-85,9,218,151
1,291,10,136,-85,10,218,151
1,331,11,280,80,11,156,219
1,341,12,280,80,12,156,219
1,351,13,280,80,13,156,219
1,401,14,417,-97,14,213,183
1,411,15,417,-97,15,213,183
2,451,1,-259,-73,2,242,229
2,481,2,-222,124,4,226,179
2,501,3,-101,-67,6,219,192
2,521,4,-26,-27,8,168,190
2,551,5,117,-50,11,192,260
2,601,6,241,120,14,159,138
2,611,7,241,120,14,159,138
2,621,8,243,-71,14,224,229
3,781,1,-353,32,1,71,43
3,801,2,-228,-30,2,235,268
3,831,3,-243,144,3,80,45
3,851,4,20,-76,4,221,225
3,861,5,230,-74,5,211,222
3,891,6,-100,44,6,115,136
3,901,7,-100,44,7,115,136
3,991,8,116,76,8,306,250
3,1001,9,116,76,9,306,250
3,1011,10,116,76,10,306,250
3,1041,11,322,40,11,96,188
3,1051,12,322,40,12,96,188
