id,border,threshold_1,value_1,threshold_2,value_2,threshold_3,value_3,threshold_4,value_4,threshold_5,value_5
1,261,28,0.05,24,0.025,20,0.0,0,0.0,0,0.0
2,252,27,0.05,23,0.025,19,0.0,0,0.0,0,0.0
3,243,26,0.05,22,0.025,18,0.0,0,0.0,0,0.0
4,234,25,0.05,21,0.025,17,0.0,0,0.0,0,0.0
5,225,24,0.05,20,0.025,16,0.0,0,0.0,0,0.0
6,216,23,0.05,19,0.025,15,0.0,0,0.0,0,0.0
7,207,22,0.05,18,0.025,14,0.0,0,0.0,0,0.0
8,198,21,0.05,17,0.025,13,0.0,0,0.0,0,0.0
9,189,20,0.05,16,0.025,12,0.0,0,0.0,0,0.0
10,180,19,0.05,15,0.025,11,0.0,0,0.0,0,0.0
11,171,18,0.05,14,0.025,10,0.0,0,0.0,0,0.0
12,161,17,0.05,13,0.025,9,0.0,0,0.0,0,0.0
13,152,16,0.05,12,0.025,8,0.0,0,0.0,0,0.0
14,143,15,0.05,11,0.025,7,0.0,0,0.0,0,0.0
15,134,14,0.05,10,0.025,6,0.0,0,0.0,0,0.0
16,125,13,0.05,9,0.025,5,0.0,0,0.0,0,0.0
17,116,12,0.05,8,0.025,4,0.0,0,0.0,0,0.0
18,107,11,0.05,7,0.025,3,0.0,0,0.0,0,0.0
19,101,10,0.05,6,0.025,2,0.0,0,0.0,0,0.0
20,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
