id,campaign_id,freegacha_1,freegacha_10,start_time,end_time,stock_10_flag,relation_id,relation_count
1,1,0,1,"2018/05/22 5:00:00","2018/06/01 4:59:59",0,0,0
2,2,0,1,"2018/08/21 5:00:00","2018/09/01 4:59:59",0,0,0
3,3,0,1,"2018/12/22 5:00:00","2019/01/04 4:59:59",0,0,0
4,4,0,1,"2019/02/15 5:00:00","2019/03/01 4:59:59",1,0,0
5,5,0,0,"2019/03/01 5:00:00","2019/03/31 11:59:59",1,4,14
6,6,0,1,"2019/08/15 5:00:00","2019/09/01 4:59:59",1,0,0
7,7,0,1,"2019/12/20 5:00:00","2020/01/03 18:59:59",1,0,0
8,8,0,1,"2020/02/15 5:00:00","2020/03/01 4:59:59",1,0,0
9,9,0,1,"2020/04/30 5:00:00","2020/05/07 4:59:59",1,0,0
10,10,0,1,"2020/08/15 5:00:00","2020/09/01 4:59:59",1,0,0
11,11,0,1,"2020/11/10 5:00:00","2020/11/17 4:59:59",1,0,0
12,12,0,0,"2020/11/17 5:00:00","2020/11/30 11:59:59",1,11,7
13,13,0,1,"2020/12/21 5:00:00","2021/01/04 4:59:59",1,0,0
14,14,0,0,"2021/01/04 5:00:00","2021/01/31 11:59:59",1,13,14
15,15,0,1,"2021/02/15 5:00:00","2021/03/01 4:59:59",1,0,0
16,16,0,0,"2021/03/01 5:00:00","2021/03/31 11:59:59",1,15,14
17,17,0,1,"2021/04/30 5:00:00","2021/05/10 4:59:59",1,0,0
