extra_effect_id,content_type,target_value_1,target_value_2,set_id,exec_timing_1,exec_timing_2,exec_timing_3,exec_timing_4,exec_timing_5,enemy_id_1,enemy_id_2,enemy_id_3,enemy_id_4,enemy_id_5
102311001,16,610132007,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102311002,16,610132008,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102311003,16,610132009,0,61013201,1,0,0,0,0,610132504,0,0,0,0
102312001,16,610134007,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102312002,16,610134008,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102312003,16,610134009,0,61013401,1,0,0,0,0,610134504,0,0,0,0
102401001,16,610136004,0,61013601,1,0,0,0,0,610136404,0,0,0,0
102401002,16,610136005,0,61013601,1,0,0,0,0,610136405,0,0,0,0
102401003,16,610136006,0,61013601,1,0,0,0,0,610136406,0,0,0,0
102401004,16,610136007,0,61013601,1,0,0,0,0,610136504,0,0,0,0
102401005,16,610136008,0,61013601,1,0,0,0,0,610136505,0,0,0,0
102401006,16,610136009,0,61013601,1,0,0,0,0,610136506,0,0,0,0
102401007,16,610137007,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102401008,16,610137008,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102401009,16,610137009,0,61013601,1,0,0,0,0,610137504,0,0,0,0
102402001,16,610140007,0,61014001,1,0,0,0,0,610140504,0,0,0,0
102402002,16,610140008,0,61014001,1,0,0,0,0,610140504,0,0,0,0
102402003,16,610140009,0,61014001,1,0,0,0,0,610140504,0,0,0,0
430001001,43,810010011,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001002,43,810010021,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001003,43,810010031,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001004,43,810010041,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001005,43,810010051,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001006,43,810010061,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001007,43,810010071,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001008,43,810010081,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001009,43,810010091,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001010,43,810010101,0,0,1,1,4,0,0,810101002,810101003,810101004,0,0
430001011,43,810010111,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001012,43,810010121,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001013,43,810010131,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001014,43,810010141,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001015,43,810010151,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001016,43,810010161,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001017,43,810010171,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001018,43,810010181,0,0,1,1,0,0,0,810100106,810100107,0,0,0
430001019,43,810010191,0,0,1,1,0,0,0,810100106,810100107,0,0,0
